Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,BAC,BAC,BAC,BAC,BAC,BAC,
1973-02-19,1.5076402425765991,4.625,4.640625,4.625,4.625,280000,BAC
1973-02-26,1.522921085357666,4.671875,4.671875,4.625,4.625,252000,BAC
1973-03-05,1.5993212461471558,4.90625,4.90625,4.734375,4.734375,359200,BAC
1973-03-12,1.5942270755767822,4.890625,4.921875,4.890625,4.890625,286400,BAC
1973-03-19,1.5025471448898315,4.609375,4.84375,4.609375,4.84375,364000,BAC
1973-03-26,1.5382006168365479,4.71875,4.71875,4.59375,4.59375,372000,BAC
1973-04-02,1.5025471448898315,4.609375,4.6875,4.609375,4.6875,268800,BAC
1973-04-09,1.5687602758407593,4.8125,4.8125,4.609375,4.609375,415200,BAC
1973-04-16,1.5280141830444336,4.6875,4.8125,4.671875,4.8125,197600,BAC
1973-04-23,1.4770808219909668,4.53125,4.625,4.53125,4.625,312000,BAC
1973-04-30,1.461800456047058,4.484375,4.546875,4.4375,4.46875,547200,BAC
1973-05-07,1.5534813404083252,4.765625,4.828125,4.5,4.5,226400,BAC
1973-05-14,1.5076402425765991,4.625,4.734375,4.578125,4.65625,476000,BAC
1973-05-21,1.5789477825164795,4.84375,4.90625,4.609375,4.625,361600,BAC
1973-05-28,1.5636669397354126,4.796875,4.9375,4.796875,4.875,318400,BAC
1973-06-04,1.461800456047058,4.484375,4.640625,4.4375,4.640625,382400,BAC
1973-06-11,1.4821741580963135,4.546875,4.65625,4.5,4.5,344800,BAC
1973-06-18,1.4261471033096313,4.375,4.53125,4.375,4.53125,281600,BAC
1973-06-25,1.395586371421814,4.28125,4.390625,4.265625,4.359375,398400,BAC
1973-07-02,1.395586371421814,4.28125,4.375,4.28125,4.3125,132000,BAC
1973-07-09,1.4261471033096313,4.375,4.4375,4.3125,4.3125,170400,BAC
1973-07-16,1.6247897148132324,4.984375,5.046875,4.40625,4.40625,755200,BAC
1973-07-23,1.589134693145752,4.875,5.0,4.875,4.984375,401600,BAC
1973-07-30,1.5331079959869385,4.703125,4.90625,4.703125,4.875,232800,BAC
1973-08-06,1.5331079959869385,4.703125,4.765625,4.640625,4.703125,180000,BAC
1973-08-13,1.5382006168365479,4.71875,4.78125,4.671875,4.703125,172000,BAC
1973-08-20,1.522921085357666,4.671875,4.78125,4.65625,4.71875,168800,BAC
1973-08-27,1.558574914932251,4.78125,4.875,4.6875,4.6875,337600,BAC
1973-09-03,1.5789477825164795,4.84375,4.90625,4.765625,4.796875,434400,BAC
1973-09-10,1.5687602758407593,4.8125,4.9375,4.796875,4.875,241600,BAC
1973-09-17,1.5993212461471558,4.90625,5.0,4.84375,4.84375,397600,BAC
1973-09-24,1.5993212461471558,4.90625,5.03125,4.90625,4.96875,346400,BAC
1973-10-01,1.5993212461471558,4.90625,4.984375,4.90625,4.90625,213600,BAC
1973-10-08,1.6910017728805542,5.1875,5.25,4.90625,4.90625,592000,BAC
1973-10-15,1.7113758325576782,5.25,5.3125,5.15625,5.1875,604000,BAC
1973-10-22,1.6706280708312988,5.125,5.25,5.09375,5.25,367200,BAC
1973-10-29,1.584040641784668,4.859375,5.1875,4.859375,5.125,469600,BAC
1973-11-05,1.650255799293518,5.0625,5.125,4.859375,4.859375,300800,BAC
1973-11-12,1.634974479675293,5.015625,5.109375,4.96875,5.0625,316800,BAC
1973-11-19,1.558574914932251,4.78125,5.0,4.703125,5.0,392800,BAC
1973-11-26,1.4006799459457397,4.296875,4.84375,4.296875,4.78125,615200,BAC
1973-12-03,1.4567065238952637,4.46875,4.53125,4.15625,4.28125,1434400,BAC
1973-12-10,1.4465200901031494,4.4375,4.5625,4.4375,4.46875,449600,BAC
1973-12-17,1.421053171157837,4.359375,4.421875,4.3125,4.375,365600,BAC
1973-12-24,1.584040641784668,4.859375,4.921875,4.375,4.375,405600,BAC
1973-12-31,1.589134693145752,4.875,5.03125,4.875,4.9375,485600,BAC
1974-01-07,1.3904927968978882,4.265625,4.859375,4.265625,4.859375,546400,BAC
1974-01-14,1.4872677326202393,4.5625,4.6875,4.34375,4.34375,464000,BAC
1974-01-21,1.4108660221099854,4.328125,4.5,4.28125,4.5,928800,BAC
1974-01-28,1.395586371421814,4.28125,4.453125,4.28125,4.328125,388800,BAC
1974-02-04,1.3701198101043701,4.203125,4.28125,4.171875,4.28125,244000,BAC
1974-02-11,1.3191851377487183,4.046875,4.21875,4.03125,4.203125,592000,BAC
1974-02-18,1.3140920400619507,4.03125,4.09375,3.984375,4.046875,670400,BAC
1974-02-25,1.308998703956604,4.015625,4.078125,3.96875,4.03125,973600,BAC
1974-03-04,1.3853999376296997,4.25,4.3125,4.0,4.015625,784800,BAC
1974-03-11,1.5280141830444336,4.6875,4.78125,4.21875,4.25,1264800,BAC
1974-03-18,1.4668933153152466,4.5,4.65625,4.5,4.65625,439200,BAC
1974-03-25,1.334465742111206,4.09375,4.5625,4.09375,4.5,687200,BAC
1974-04-01,1.3242788314819336,4.0625,4.1875,4.0625,4.109375,559200,BAC
1974-04-08,1.3039058446884155,4.0,4.0625,3.984375,4.0625,432000,BAC
1974-04-15,1.3752127885818481,4.21875,4.328125,4.015625,4.015625,481600,BAC
1974-04-22,1.2631580829620361,3.875,4.265625,3.875,4.21875,748000,BAC
1974-04-29,1.2682510614395142,3.890625,3.953125,3.8125,3.875,1048000,BAC
1974-05-06,1.1511039733886719,3.53125,3.9375,3.53125,3.890625,756000,BAC
1974-05-13,1.1460108757019043,3.515625,3.71875,3.453125,3.515625,838400,BAC
1974-05-20,1.0950764417648315,3.359375,3.71875,3.359375,3.578125,729600,BAC
1974-05-27,0.9677420258522034,2.96875,3.234375,2.96875,3.234375,792800,BAC
1974-06-03,1.0594228506088257,3.25,3.421875,2.921875,2.96875,1024000,BAC
1974-06-10,1.0848900079727173,3.328125,3.40625,3.1875,3.25,600000,BAC
1974-06-17,0.9473686814308167,2.90625,3.28125,2.90625,3.28125,1237600,BAC
1974-06-24,0.8149408102035522,2.5,2.9375,2.5,2.90625,835200,BAC
1974-07-01,0.6723257899284363,2.0625,2.375,2.0,2.375,1838400,BAC
1974-07-08,0.6774197816848755,2.078125,2.140625,1.890625,2.0,844000,BAC
1974-07-15,0.7538201212882996,2.3125,2.390625,2.1875,2.1875,768800,BAC
1974-07-22,0.667232871055603,2.046875,2.265625,2.046875,2.234375,421600,BAC
1974-07-29,0.6010189056396484,1.84375,2.046875,1.8125,2.046875,648000,BAC
1974-08-05,0.5908320546150208,1.8125,2.0,1.8125,1.875,502400,BAC
1974-08-12,0.5246180891990662,1.609375,1.859375,1.578125,1.8125,405600,BAC
1974-08-19,0.48896437883377075,1.5,1.75,1.5,1.609375,631200,BAC
1974-08-26,0.5246180891990662,1.609375,1.71875,1.5625,1.578125,699200,BAC
1974-09-02,0.4533107578754425,1.390625,1.59375,1.375,1.59375,559200,BAC
1974-09-09,0.3259764611721039,1.0,1.390625,1.0,1.390625,868800,BAC
1974-09-16,0.3514431118965149,1.078125,1.1875,1.015625,1.015625,1828800,BAC
1974-09-23,0.3310697078704834,1.015625,1.109375,1.015625,1.078125,784000,BAC
1974-09-30,0.32088279724121094,0.984375,1.03125,0.9375,1.015625,1090400,BAC
1974-10-07,0.42275044322013855,1.296875,1.34375,1.0625,1.078125,1016000,BAC
1974-10-14,0.42275044322013855,1.296875,1.34375,1.234375,1.296875,776800,BAC
1974-10-21,0.4584040939807892,1.40625,1.46875,1.359375,1.359375,756800,BAC
1974-10-28,0.397283673286438,1.21875,1.40625,1.21875,1.390625,819200,BAC
1974-11-04,0.3718169331550598,1.140625,1.203125,1.0625,1.109375,1016800,BAC
1974-11-11,0.3310697078704834,1.015625,1.171875,1.015625,1.140625,963200,BAC
1974-11-18,0.32088279724121094,0.984375,1.03125,0.953125,1.0,970400,BAC
1974-11-25,0.3310697078704834,1.015625,1.0625,0.953125,0.984375,368800,BAC
1974-12-02,0.2750425934791565,0.84375,1.015625,0.84375,1.015625,1488000,BAC
1974-12-09,0.32088279724121094,0.984375,1.03125,0.84375,0.84375,1219200,BAC
1974-12-16,0.2699491083621979,0.828125,1.0,0.828125,0.984375,1036800,BAC
1974-12-23,0.3005094528198242,0.921875,1.0,0.828125,0.828125,976800,BAC
1974-12-30,0.31069621443748474,0.953125,1.0,0.90625,0.921875,604800,BAC
1975-01-06,0.3718169331550598,1.140625,1.1875,0.96875,1.015625,1475200,BAC
