Price,Close,High,Low,Open,Volume
Ticker,BIIB,BIIB,BIIB,BIIB,BIIB
Date,,,,,
1991-09-16,3.0833330154418945,3.25,3.0,3.0,22611000
1991-09-23,3.3333330154418945,3.375,2.9583330154418945,3.1666669845581055,5632800
1991-09-30,2.875,3.3333330154418945,2.875,3.3333330154418945,1666800
1991-10-07,2.6875,2.9583330154418945,2.4583330154418945,2.875,7646400
1991-10-14,3.375,3.5416669845581055,2.6666669845581055,2.75,4083600
1991-10-21,3.0,3.4583330154418945,2.875,3.3333330154418945,1229400
1991-10-28,3.0416669845581055,3.2916669845581055,2.9583330154418945,3.125,2496600
1991-11-04,2.7083330154418945,3.125,2.4583330154418945,3.0416669845581055,3559200
1991-11-11,2.375,3.0833330154418945,2.375,2.7083330154418945,5495400
1991-11-18,2.0833330154418945,2.5,1.9583330154418945,2.25,6116400
1991-11-25,2.0,2.125,1.8333330154418945,2.0416669845581055,775200
1991-12-02,1.9583330154418945,2.2083330154418945,1.875,1.875,2583600
1991-12-09,2.4583330154418945,2.5,1.9583330154418945,1.9583330154418945,1555800
1991-12-16,2.1666669845581055,2.5,2.1666669845581055,2.4166669845581055,651000
1991-12-23,2.125,2.2916669845581055,2.0833330154418945,2.2916669845581055,372000
1991-12-30,2.3125,2.4583330154418945,2.0416669845581055,2.0833330154418945,2455200
1992-01-06,3.0416669845581055,3.375,2.3333330154418945,2.3333330154418945,5686800
1992-01-13,3.0833330154418945,3.375,2.9166669845581055,3.0416669845581055,5357400
1992-01-20,2.7916669845581055,3.0833330154418945,2.625,3.0,1782000
1992-01-27,2.5833330154418945,2.7916669845581055,2.5833330154418945,2.7916669845581055,934800
1992-02-03,2.5,2.6666669845581055,2.375,2.5833330154418945,845400
1992-02-10,2.2916669845581055,2.5416669845581055,1.9583330154418945,2.5,5530800
1992-02-17,2.2708330154418945,2.3333330154418945,2.0833330154418945,2.3333330154418945,1089600
1992-02-24,2.3333330154418945,2.375,2.1666669845581055,2.2916669845581055,694200
1992-03-02,2.1666669845581055,2.3333330154418945,2.125,2.2916669845581055,1714200
1992-03-09,2.0,2.25,2.0,2.25,998400
1992-03-16,1.875,2.0208330154418945,1.8125,2.0,4610400
1992-03-23,1.8958330154418945,1.9583330154418945,1.8333330154418945,1.875,469800
1992-03-30,1.875,1.9166669845581055,1.7916669845581055,1.875,456600
1992-04-06,1.5,1.875,1.2083330154418945,1.7916669845581055,3175800
