Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,BRK-A,BRK-A,BRK-A,BRK-A,BRK-A,BRK-A,
1980-03-17,290.0,290.0,310.0,290.0,290.0,30000,BRK-A
1980-03-24,270.0,270.0,290.0,270.0,290.0,10000,BRK-A
1980-03-31,260.0,260.0,280.0,260.0,270.0,50000,BRK-A
1980-04-07,260.0,260.0,285.0,260.0,265.0,120000,BRK-A
1980-04-14,255.0,255.0,275.0,245.0,260.0,70000,BRK-A
1980-04-21,275.0,275.0,295.0,260.0,260.0,50000,BRK-A
1980-04-28,275.0,275.0,275.0,275.0,275.0,0,BRK-A
1980-05-05,285.0,285.0,305.0,285.0,285.0,20000,BRK-A
1980-05-12,310.0,310.0,330.0,285.0,285.0,40000,BRK-A
1980-05-19,315.0,315.0,335.0,310.0,310.0,50000,BRK-A
1980-05-26,320.0,320.0,340.0,315.0,315.0,20000,BRK-A
1980-06-02,310.0,310.0,330.0,310.0,320.0,30000,BRK-A
1980-06-09,320.0,320.0,340.0,310.0,310.0,50000,BRK-A
1980-06-16,310.0,310.0,340.0,310.0,320.0,40000,BRK-A
1980-06-23,305.0,305.0,330.0,305.0,310.0,40000,BRK-A
1980-06-30,305.0,305.0,325.0,305.0,305.0,30000,BRK-A
1980-07-07,320.0,320.0,335.0,310.0,310.0,80000,BRK-A
1980-07-14,325.0,325.0,345.0,325.0,325.0,60000,BRK-A
1980-07-21,340.0,340.0,360.0,325.0,325.0,10000,BRK-A
1980-07-28,340.0,340.0,340.0,340.0,340.0,0,BRK-A
1980-08-04,360.0,360.0,380.0,345.0,345.0,60000,BRK-A
1980-08-11,375.0,375.0,390.0,365.0,365.0,20000,BRK-A
1980-08-18,390.0,390.0,405.0,370.0,375.0,30000,BRK-A
1980-08-25,380.0,380.0,405.0,380.0,390.0,70000,BRK-A
1980-09-01,380.0,380.0,380.0,380.0,380.0,0,BRK-A
1980-09-08,400.0,400.0,415.0,390.0,390.0,30000,BRK-A
1980-09-15,400.0,400.0,415.0,400.0,400.0,20000,BRK-A
1980-09-22,385.0,385.0,415.0,385.0,400.0,40000,BRK-A
1980-09-29,385.0,385.0,400.0,385.0,385.0,20000,BRK-A
1980-10-06,390.0,390.0,410.0,390.0,390.0,90000,BRK-A
