Price,Close,High,Low,Open,Volume
Ticker,DXCM,DXCM,DXCM,DXCM,DXCM
Date,,,,,
2005-04-11,2.5625,3.049999952316284,2.557499885559082,3.0199999809265137,8723200
2005-04-18,2.630000114440918,2.75,2.5999999046325684,2.625,1026000
2005-04-25,2.5,2.6875,2.4024999141693115,2.6649999618530273,914000
2005-05-02,2.5,2.5250000953674316,2.4674999713897705,2.4700000286102295,344800
2005-05-09,2.9075000286102295,2.9375,2.4749999046325684,2.5225000381469727,1290400
2005-05-16,3.4700000286102295,3.684999942779541,2.877500057220459,2.9000000953674316,3236400
2005-05-23,3.549999952316284,3.6500000953674316,3.3424999713897705,3.5,1261200
2005-05-30,3.434999942779541,3.5799999237060547,3.375,3.5799999237060547,3710400
2005-06-06,3.7699999809265137,3.8949999809265137,3.4375,3.4600000381469727,1170000
2005-06-13,3.799999952316284,3.997499942779541,3.7300000190734863,3.8975000381469727,824400
2005-06-20,3.0,3.825000047683716,3.0,3.825000047683716,1451600
2005-06-27,3.109999895095825,3.1624999046325684,2.877500057220459,3.0399999618530273,829200
2005-07-04,3.009999990463257,3.137500047683716,2.887500047683716,3.125,532000
2005-07-11,2.884999990463257,3.125,2.8299999237060547,3.0,526800
2005-07-18,2.869999885559082,2.942500114440918,2.762500047683716,2.934999942779541,808400
2005-07-25,2.755000114440918,2.9024999141693115,2.5975000858306885,2.9024999141693115,1005200
2005-08-01,2.7125000953674316,2.9774999618530273,2.7049999237060547,2.797499895095825,491600
2005-08-08,2.5299999713897705,2.7249999046325684,2.4749999046325684,2.7100000381469727,656800
2005-08-15,2.9375,3.055000066757202,2.4625000953674316,2.5625,1530400
2005-08-22,2.922499895095825,3.3499999046325684,2.9149999618530273,2.9725000858306885,1177200
2005-08-29,3.1050000190734863,3.125,2.9375,2.944999933242798,565600
2005-09-05,3.112499952316284,3.197499990463257,3.049999952316284,3.069999933242798,270400
2005-09-12,3.1075000762939453,3.174999952316284,3.0399999618530273,3.0875000953674316,2296000
2005-09-19,3.069999933242798,3.1424999237060547,2.9574999809265137,3.1024999618530273,569200
2005-09-26,2.9049999713897705,3.1675000190734863,2.875,3.0625,772800
2005-10-03,3.0425000190734863,3.137500047683716,2.887500047683716,2.887500047683716,1507600
2005-10-10,2.752500057220459,3.0999999046325684,2.677500009536743,3.075000047683716,6632400
2005-10-17,2.9375,2.9549999237060547,2.5,2.7274999618530273,870800
2005-10-24,3.1524999141693115,3.242500066757202,2.8924999237060547,2.9049999713897705,6703200
2005-10-31,3.317500114440918,3.5,3.125,3.1575000286102295,2659600
2005-11-07,3.382499933242798,3.424999952316284,3.1875,3.3499999046325684,5924000
2005-11-14,3.5975000858306885,3.615000009536743,3.382499933242798,3.382499933242798,1102400
2005-11-21,3.799999952316284,3.9124999046325684,3.555000066757202,3.622499942779541,606800
2005-11-28,3.6424999237060547,3.817500114440918,3.4725000858306885,3.817500114440918,2019200
2005-12-05,3.622499942779541,3.637500047683716,3.5,3.5999999046325684,408000
2005-12-12,3.8575000762939453,3.875,3.452500104904175,3.612499952316284,1188400
2005-12-19,3.8949999809265137,4.042500019073486,3.8499999046325684,3.877500057220459,1075200
2005-12-26,3.7300000190734863,3.934999942779541,3.7074999809265137,3.867500066757202,476000
2006-01-02,3.9124999046325684,4.065000057220459,3.625,3.747499942779541,1437200
2006-01-09,3.7699999809265137,4.050000190734863,3.6875,3.9375,1158000
2006-01-16,3.7674999237060547,3.8949999809265137,3.577500104904175,3.7225000858306885,2035200
2006-01-23,4.059999942779541,4.195000171661377,3.700000047683716,3.7899999618530273,1492400
2006-01-30,4.46999979019165,4.857500076293945,3.997499942779541,4.050000190734863,5070400
2006-02-06,4.492499828338623,4.65749979019165,4.287499904632568,4.5,2804800
2006-02-13,4.317500114440918,4.547500133514404,4.21999979019165,4.5,2756800
2006-02-20,4.25,4.537499904632568,4.152500152587891,4.340000152587891,1215600
2006-02-27,4.550000190734863,4.764999866485596,4.070000171661377,4.25,4108000
2006-03-06,4.639999866485596,4.664999961853027,4.425000190734863,4.537499904632568,4225200
2006-03-13,4.820000171661377,5.227499961853027,4.599999904632568,4.667500019073486,4692000
2006-03-20,4.952499866485596,4.972499847412109,4.5,4.835000038146973,2867200
2006-03-27,5.067500114440918,5.925000190734863,4.914999961853027,5.494999885559082,33713200
2006-04-03,4.927499771118164,5.362500190734863,4.824999809265137,5.102499961853027,6809200
2006-04-10,5.09499979019165,5.262499809265137,4.75,4.927499771118164,5620000
2006-04-17,5.824999809265137,5.867499828338623,5.059999942779541,5.130000114440918,7746400
2006-04-24,6.289999961853027,6.675000190734863,5.722499847412109,5.802499771118164,19142400
2006-05-01,6.3125,6.5,6.15500020980835,6.289999961853027,8350000
2006-05-08,5.512499809265137,6.295000076293945,5.425000190734863,6.287499904632568,8865600
2006-05-15,5.25,5.587500095367432,5.079999923706055,5.512499809265137,9739600
2006-05-22,4.949999809265137,5.46999979019165,4.6875,5.212500095367432,12290000
2006-05-29,5.292500019073486,5.402500152587891,4.772500038146973,5.014999866485596,10860800
2006-06-05,4.675000190734863,5.40500020980835,4.607500076293945,5.262499809265137,8883600
2006-06-12,3.380000114440918,4.715000152587891,3.2049999237060547,4.664999961853027,25678000
