Price,Close,High,Low,Open,Volume
Ticker,IDXX,IDXX,IDXX,IDXX,IDXX
Date,,,,,
1991-06-17,0.9453129768371582,0.96875,0.9375,0.9375,11384000
1991-06-24,0.90625,0.9453129768371582,0.90625,0.9375,8092800
1991-07-01,0.875,0.9375,0.875,0.9140629768371582,2265600
1991-07-08,0.859375,0.8828129768371582,0.859375,0.8671879768371582,1259200
1991-07-15,0.890625,0.921875,0.859375,0.8828129768371582,1292800
1991-07-22,0.9375,0.9453129768371582,0.8671879768371582,0.890625,1404800
1991-07-29,0.921875,0.9453129768371582,0.90625,0.9375,1588800
1991-08-05,0.921875,0.9375,0.9140629768371582,0.9375,667200
1991-08-12,0.9296879768371582,0.9375,0.90625,0.921875,790400
1991-08-19,0.921875,0.921875,0.84375,0.875,1067200
1991-08-26,1.03125,1.0546879768371582,0.890625,0.890625,6203200
1991-09-02,0.9609379768371582,1.03125,0.953125,1.03125,718400
1991-09-09,0.9921879768371582,1.0,0.9609379768371582,0.9765629768371582,796800
1991-09-16,1.03125,1.03125,0.9609379768371582,0.9921879768371582,2977600
1991-09-23,1.0859379768371582,1.0859379768371582,1.0,1.0,4865600
1991-09-30,1.140625,1.1484379768371582,1.0859379768371582,1.0859379768371582,4326400
1991-10-07,1.28125,1.359375,1.140625,1.15625,6779200
1991-10-14,1.2265629768371582,1.34375,1.21875,1.3125,2273600
1991-10-21,1.453125,1.515625,1.21875,1.265625,5456000
1991-10-28,1.75,1.75,1.453125,1.453125,7536000
1991-11-04,1.8125,1.8125,1.625,1.75,2875200
1991-11-11,1.625,1.8125,1.5625,1.78125,2835200
1991-11-18,1.4375,1.65625,1.375,1.546875,3121600
1991-11-25,1.25,1.40625,1.125,1.359375,1904000
1991-12-02,1.515625,1.546875,1.25,1.265625,2361600
1991-12-09,1.46875,1.515625,1.46875,1.46875,456000
1991-12-16,1.265625,1.515625,1.234375,1.515625,11513600
1991-12-23,1.28125,1.3125,1.2421879768371582,1.28125,3651200
1991-12-30,1.390625,1.390625,1.296875,1.328125,12798400
1992-01-06,1.59375,1.59375,1.359375,1.390625,23132800
1992-01-13,1.546875,1.640625,1.484375,1.625,8996800
1992-01-20,1.546875,1.546875,1.5,1.546875,4305600
1992-01-27,1.5625,1.625,1.4375,1.546875,3699200
1992-02-03,1.515625,1.59375,1.5,1.59375,3057600
1992-02-10,1.5,1.5625,1.5,1.515625,1744000
1992-02-17,1.328125,1.546875,1.3125,1.5,2777600
1992-02-24,1.2109379768371582,1.359375,1.203125,1.359375,6873600
1992-03-02,1.3125,1.328125,1.203125,1.234375,3529600
1992-03-09,1.34375,1.34375,1.28125,1.28125,3161600
1992-03-16,1.421875,1.453125,1.28125,1.296875,7334400
1992-03-23,1.3203129768371582,1.421875,1.3125,1.390625,4436800
