Price,Close,High,Low,Open,Volume
Ticker,MSTR,MSTR,MSTR,MSTR,MSTR
Date,,,,,
1998-06-08,10.4375,12.25,7.9375,8.0,13416600
1998-06-15,14.0625,14.875,9.375,10.25,4385800
1998-06-22,13.6875,15.5,12.125,14.9375,2165800
1998-06-29,13.125,14.625,12.875,13.4375,577400
1998-07-06,15.625,15.625,13.125,13.5625,1295000
1998-07-13,16.75,22.25,15.9375,16.5,2790600
1998-07-20,19.0,20.46875,17.1875,17.25,1308000
1998-07-27,18.0,20.25,17.25,18.75,915000
1998-08-03,18.5,19.5,15.75,18.0,1144000
1998-08-10,19.6875,20.125,17.0,18.6875,1417000
1998-08-17,20.0,20.9375,18.25,19.4375,1240800
1998-08-24,17.4375,23.0,15.75,20.375,1675000
1998-08-31,12.0625,19.09375,11.875,17.75,2945800
1998-09-07,14.15625,15.375,13.0,13.90625,1103600
1998-09-14,19.09375,19.6875,14.875,14.875,1961600
1998-09-21,20.0,21.0625,14.1875,18.0,1672000
1998-09-28,16.0,20.0,15.0,19.875,1143400
1998-10-05,12.75,15.75,10.25,15.46875,3493200
1998-10-12,12.25,14.75,11.9375,14.25,2356200
1998-10-19,12.3125,13.25,10.75,12.6875,1565600
1998-10-26,12.1875,15.0,11.1875,12.65625,6277200
1998-11-02,12.75,13.0625,11.09375,12.4375,2825400
1998-11-09,12.375,13.875,12.0625,12.875,3104400
1998-11-16,11.1875,12.9375,11.0625,12.25,1688400
1998-11-23,11.5,13.0,10.625,11.46875,1425000
1998-11-30,11.3125,11.875,9.875,11.375,2477200
1998-12-07,11.5625,11.8125,10.625,11.5,940600
1998-12-14,11.625,13.0,10.625,11.25,1698400
1998-12-21,15.4375,15.5,11.375,11.75,1478400
1998-12-28,15.75,17.875,13.875,15.625,1627200
1999-01-04,17.25,17.5,13.75,15.75,1852000
1999-01-11,15.3125,17.46875,14.125,17.375,929800
1999-01-18,16.4375,16.6875,14.375,16.4375,957000
1999-01-25,14.5,17.125,13.25,15.875,1924400
1999-02-01,14.625,15.6875,13.125,14.5,1656600
1999-02-08,13.25,14.625,13.0625,14.625,4977000
1999-02-15,12.5,13.28125,12.375,13.25,1460800
1999-02-22,12.4375,13.0,12.1875,12.53125,1381400
1999-03-01,12.53125,13.8125,12.25,12.75,1660800
1999-03-08,11.25,12.9375,10.9375,12.875,1176600
1999-03-15,9.3125,11.5,9.25,11.25,1881200
1999-03-22,10.5,11.0,9.0,9.6875,1467800
1999-03-29,9.0,10.75,8.9375,10.5,1105000
1999-04-05,8.4375,9.625,7.75,9.3125,1857200
1999-04-12,8.65625,9.0,7.53125,8.375,1437400
1999-04-19,9.0,10.125,7.34375,9.0,1342400
1999-04-26,8.625,9.5,8.0625,9.1875,1400400
1999-05-03,8.71875,8.9375,8.21875,8.75,745200
1999-05-10,9.625,9.75,8.5,8.75,1491000
1999-05-17,11.9375,12.3125,9.5,9.75,3661400
1999-05-24,12.5,12.6875,10.5,12.03125,2157000
1999-05-31,11.875,12.46875,11.0,12.46875,508000
1999-06-07,11.5625,12.125,11.1875,11.9375,654600
1999-06-14,12.9375,13.0,11.375,11.421875,859400
1999-06-21,16.75,17.75,12.75,13.0,3447000
1999-06-28,18.5625,19.625,15.65625,17.0,5300200
1999-07-05,20.0625,20.40625,17.5,18.5625,2665200
1999-07-12,20.0625,22.609375,19.5,20.15625,2683800
1999-07-19,20.3125,20.75,17.59375,20.5625,2348800
1999-07-26,17.1875,19.1875,15.25,18.375,2597400
1999-08-02,15.3125,17.0,14.0,17.0,1128800
1999-08-09,15.0625,15.8125,12.875,15.3125,1174800
1999-08-16,15.625,16.0625,13.75,15.1875,708600
1999-08-23,18.0,19.6875,15.5,15.59375,1608400
1999-08-30,20.6875,20.875,17.0,18.1875,1732200
1999-09-06,19.625,20.75,19.3125,19.75,922600
1999-09-13,20.6875,20.8125,19.25,19.5625,645600
1999-09-20,22.09375,23.9375,19.8125,20.5625,1582800
1999-09-27,28.8125,29.25,21.9375,22.5,3030000
1999-10-04,34.4375,37.96875,27.625,29.15625,4077400
1999-10-11,38.5,39.5,34.125,34.6875,2328600
1999-10-18,45.3125,46.75,35.25,38.8125,6832200
1999-10-25,48.3125,49.0,40.375,44.46875,6530600
1999-11-01,47.9375,50.5,47.75,49.5,2266400
1999-11-08,41.3125,48.40625,39.8125,48.40625,3354400
1999-11-15,49.25,49.8125,40.25,41.40625,3645600
1999-11-22,60.21875,61.6875,46.25,48.796875,2164800
1999-11-29,73.0,73.8125,57.6875,69.625,2333800
1999-12-06,115.65625,116.0,70.875,71.5,4647800
1999-12-13,86.96875,117.296875,79.5,115.53125,4166800
1999-12-20,87.5,97.0,83.0,90.5,1154200
1999-12-27,105.0,106.5,78.0,89.5625,2106400
2000-01-03,105.1875,115.5,89.78125,115.5,3043800
2000-01-10,113.96875,131.0,109.0,111.0,2068000
2000-01-17,144.5625,150.0,117.5,122.125,2489200
2000-01-24,155.0,157.0,133.0,146.75,2887400
2000-01-31,141.96875,155.0,124.0,154.5625,2000500
2000-02-07,167.875,168.4375,135.0625,142.234375,2371000
2000-02-14,160.5,178.5,159.625,170.375,1815500
2000-02-21,150.0,158.0,140.0,155.625,1853500
2000-02-28,188.0,194.0,134.0,147.3125,3126400
2000-03-06,313.0,333.0,187.9375,187.9375,3275800
2000-03-13,226.75,319.125,214.25,290.0,4042100
2000-03-20,129.0,142.0,63.0,109.25,54152300
2000-03-27,87.0625,130.375,86.5,130.0,13580100
2000-04-03,64.375,88.625,58.0625,85.125,9179000
2000-04-10,33.5625,67.75,33.0,67.4375,11883800
2000-04-17,33.6875,39.125,26.125,30.0625,6971200
2000-04-24,25.875,34.375,21.0625,31.5625,12429200
2000-05-01,25.0,27.9375,23.625,27.0,6296600
2000-05-08,23.875,24.875,19.0,24.84375,7056800
2000-05-15,21.875,29.5,21.5,23.6875,11466400
2000-05-22,17.9375,23.375,16.5625,22.3125,6831000
2000-05-29,22.625,22.625,18.0625,18.5625,5628000
2000-06-05,62.25,62.75,22.5,22.625,66193100
2000-06-12,38.5625,55.375,35.5,55.0,51078600
2000-06-19,33.625,48.8125,33.0,45.921875,16173600
2000-06-26,30.0,39.625,29.0,34.125,18108000
2000-07-03,32.5,34.875,25.25,30.3125,13109300
2000-07-10,32.875,34.1875,27.5,32.8125,10923500
2000-07-17,30.0,37.125,29.5,33.3125,8995300
2000-07-24,22.375,31.0,22.0,30.1875,9972700
2000-07-31,22.1875,24.375,19.8125,23.1875,7246900
2000-08-07,20.25,23.4375,20.0,22.4375,3713000
2000-08-14,21.0,21.75,19.875,20.75,4419700
2000-08-21,26.875,30.875,21.0,21.125,34999700
2000-08-28,31.375,32.25,27.0,27.1875,10283800
2000-09-04,33.75,36.8125,30.9375,32.3125,11818200
2000-09-11,29.3125,34.625,28.0,32.25,5223800
2000-09-18,26.375,29.25,25.125,29.0625,3940900
2000-09-25,27.3125,28.5,23.375,26.375,4768500
2000-10-02,25.4375,28.9375,24.875,27.9375,3718100
2000-10-09,21.9375,26.75,19.125,25.0,4827800
2000-10-16,24.1875,26.875,20.4375,22.4375,6055900
2000-10-23,24.375,27.375,21.0,22.75,5375400
2000-10-30,24.25,26.0,22.875,25.0625,2672000
2000-11-06,21.375,24.75,21.0,24.375,1963400
2000-11-13,19.75,23.125,19.5,21.0,2212200
2000-11-20,16.875,19.9375,14.875,19.9375,2600900
2000-11-27,12.0625,18.0,9.25,17.375,6154200
2000-12-04,13.25,14.125,11.0,12.125,4250600
2000-12-11,14.0,17.5,12.875,13.6875,5974800
2000-12-18,10.5,14.5625,8.9375,14.125,5250600
2000-12-25,9.5,10.9375,9.0,10.5625,4711400
2001-01-01,9.5625,11.375,9.25,9.5625,2825300
2001-01-08,15.0,15.125,9.0625,9.953125,5634300
2001-01-15,14.5625,15.4375,13.75,14.875,2718300
2001-01-22,15.5,16.75,13.5625,14.625,2883000
2001-01-29,15.875,18.0,14.75,15.53125,2414800
2001-02-05,10.25,17.9375,10.0625,16.625,4496100
2001-02-12,10.25,11.4375,10.125,10.1875,2027300
2001-02-19,9.5,10.75,8.5625,10.75,1721300
2001-02-26,8.6875,10.5625,8.28125,9.40625,1900100
2001-03-05,6.9375,9.875,6.9375,8.65625,3073800
2001-03-12,4.6875,6.9375,4.5,6.90625,3846700
2001-03-19,3.78125,5.0,3.6875,4.90625,3630500
2001-03-26,2.875,4.1875,2.65625,4.0625,3586900
2001-04-02,2.625,3.125,1.75,2.984375,4318200
2001-04-09,2.4800000190734863,2.950000047683716,2.25,2.9000000953674316,1696600
2001-04-16,5.639999866485596,7.170000076293945,2.4000000953674316,2.5,17707400
2001-04-23,4.170000076293945,5.400000095367432,3.809999942779541,5.389999866485596,5301500
2001-04-30,5.25,6.050000190734863,4.300000190734863,4.400000095367432,7482600
2001-05-07,4.760000228881836,5.519999980926514,4.730000019073486,5.329999923706055,2005500
2001-05-14,4.190000057220459,4.599999904632568,3.9000000953674316,4.579999923706055,2830600
2001-05-21,4.010000228881836,4.28000020980835,3.990000009536743,4.150000095367432,2097700
2001-05-28,3.7100000381469727,4.03000020980835,3.309999942779541,4.019999980926514,2060300
2001-06-04,3.799999952316284,3.799999952316284,3.450000047683716,3.7200000286102295,1439200
2001-06-11,3.75,3.7799999713897705,3.5199999809265137,3.7799999713897705,1241900
2001-06-18,3.299999952316284,3.7300000190734863,3.0,3.7300000190734863,1471500
2001-06-25,2.799999952316284,3.690000057220459,2.700000047683716,3.6500000953674316,3459100
2001-07-02,3.049999952316284,4.150000095367432,2.9000000953674316,2.9100000858306885,4481000
2001-07-09,3.299999952316284,3.440000057220459,3.0399999618530273,3.109999895095825,1727200
2001-07-16,3.059999942779541,3.4000000953674316,2.950000047683716,3.2100000381469727,897100
2001-07-23,2.7799999713897705,3.119999885559082,2.619999885559082,3.0899999141693115,1268500
2001-07-30,3.380000114440918,4.0,2.7300000190734863,2.8299999237060547,4450500
2001-08-06,3.25,3.6500000953674316,3.240000009536743,3.390000104904175,1768400
