Price,Close,High,Low,Open,Volume
Ticker,NDAQ,NDAQ,NDAQ,NDAQ,NDAQ
Date,,,,,
2002-07-01,4.0172858238220215,4.419014406204224,3.7494670243127075,4.0172858238220215,57000
2002-07-08,4.0172858238220215,4.15119560669491,3.6825117497580324,3.7494670243127075,9600
2002-07-15,2.8120996952056885,3.9503307796296343,2.6915810602160946,3.9503307796296343,189300
2002-07-22,2.7183637619018555,2.8121007471992097,2.6781909323965563,2.8121007471992097,24600
2002-07-29,3.160264492034912,3.2138286346481797,2.7987089238842833,2.812100055317157,66900
2002-08-05,3.254002571105957,3.254002571105957,3.1736567174578973,3.1870478526985475,176100
2002-08-12,3.254002571105957,3.267393706346607,3.2138295485023427,3.254002571105957,123900
2002-08-19,2.9727914333343506,3.254001545096271,2.9460097459750108,3.254001545096271,193200
2002-08-26,2.678189754486084,2.946009266300108,2.678189754486084,2.946009266300108,219600
2002-09-02,2.5978455543518066,2.678191222052063,2.383590632043638,2.6648008521128994,391800
2002-09-09,2.662121057510376,2.704972638365584,2.597844548243549,2.611235679233246,214200
2002-09-16,2.5174989700317383,2.6781904507109506,2.5174989700317383,2.662121321798942,76500
2002-09-23,2.5416035652160645,2.611236864993767,2.4907181638319154,2.611236864993767,52200
2002-09-30,2.5576717853546143,2.5576717853546143,2.4907172732958287,2.4907172732958287,43200
2002-10-07,2.410372257232666,2.54428208249116,2.3969811214594756,2.517499619385603,138600
2002-10-14,2.2095065116882324,2.4103707400235264,2.1425520243218754,2.396979612679388,222300
2002-10-21,1.9282970428466797,2.209506940463903,1.700651090323431,2.209506940463903,205200
2002-10-28,2.0086429119110107,2.0755974202292236,1.8747331290381226,2.0086429119110107,121500
2002-11-04,2.0086429119110107,2.062207054931105,2.0086429119110107,2.062207054931105,23700
2002-11-11,2.2496793270111084,2.27646100711707,2.0541718554155355,2.062206416915041,190800
2002-11-18,2.2496793270111084,2.27646100711707,2.198793962406631,2.2630706459617302,104700
2002-11-25,2.678189754486084,2.946009266300108,2.2496795700026615,2.2496795700026615,1269900
2002-12-02,2.86566424369812,2.8790546091083957,2.678190316234869,2.678190316234869,448500
2002-12-09,2.946009874343872,2.999573251396512,2.798708959196622,2.812100090798457,133800
2002-12-16,2.8120996952056885,2.9995728294309174,2.8120996952056885,2.9995728294309174,147600
2002-12-23,2.8120996952056885,2.972791144672117,2.8120996952056885,2.852272509682523,76500
2002-12-30,2.7451460361480713,2.892446209419993,2.6781907501837767,2.892446209419993,123600
2003-01-06,2.477325677871704,2.7987085782727013,2.437152863211352,2.7987085782727013,453900
2003-01-13,2.544281482696533,2.680869273039142,2.4371533795615106,2.4773262027331215,132600
2003-01-20,2.463935613632202,2.6112357603874945,2.463935613632202,2.5442812527127874,181800
2003-01-27,2.4371542930603027,2.488040462828321,2.4371542930603027,2.463936759890758,284400
2003-02-03,2.4612576961517334,2.477326829485797,2.431798193050155,2.437153996150638,105900
2003-02-10,2.1425535678863525,2.463936641381144,2.0622078952922513,2.463936641381144,153600
2003-02-17,2.1291615962982178,2.209507237398139,2.1157702729966603,2.1425527280406564,32700
2003-02-24,2.0755980014801025,2.1425532947849515,2.0755980014801025,2.1425532947849515,34200
2003-03-03,2.0675628185272217,2.1157702015594935,2.0514936908497976,2.0755973823659337,44400
2003-03-10,1.8747332096099854,2.0675629451032,1.8077786984142166,2.0514938164420258,127500
2003-03-17,1.8747332096099854,1.9282973549321472,1.8479515200671521,1.8747332096099854,97800
2003-03-24,1.861343264579773,1.9149064642167732,1.861343264579773,1.861343264579773,19800
2003-03-31,1.606914758682251,1.8747336297170705,1.606914758682251,1.8613432608428297,238500
2003-04-07,1.4247968196868896,1.6738685473420736,1.4247968196868896,1.614948613234873,457200
2003-04-14,1.4060498476028442,1.446222662079679,1.3792682586235887,1.446222662079679,443100
2003-04-21,1.5801326036453247,1.5801326036453247,1.3926586935642293,1.4060499197489282,1444800
2003-04-28,1.7274329662322998,1.738145335003686,1.4863957613773116,1.5265685809633645,780900
2003-05-05,1.6738691329956055,1.7381456562115374,1.6738691329956055,1.7381456562115374,107700
2003-05-12,1.6872596740722656,1.7167201199802642,1.6872596740722656,1.711363553368485,369900
2003-05-19,1.569419503211975,1.7006513932010094,1.569419503211975,1.7006513932010094,474000
2003-05-26,1.6604783535003662,1.6604783535003662,1.5801326236284274,1.5935229879665198,225300
2003-06-02,1.7113639116287231,1.7274330401507572,1.647087205981465,1.6604785295347375,203700
2003-06-09,1.7140413522720337,1.7140413522720337,1.665833976952577,1.6926164268072974,280200
2003-06-16,1.9149061441421509,2.062207265122466,1.7140418324778686,1.7140418324778686,569100
2003-06-23,2.2095065116882324,2.3434162526571694,1.8479508623728924,1.9015149886313338,390300
2003-06-30,2.2095065116882324,2.263070637946674,2.0755967707192955,2.263070637946674,328500
2003-07-07,2.453223705291748,2.544282723568515,2.1425539128070072,2.1827267555713132,646500
2003-07-14,2.383589506149292,2.70497240826268,2.2095069252420396,2.4639353274571847,492000
2003-07-21,2.263071298599243,2.3835897558476287,2.20950715670396,2.3835897558476287,57000
2003-07-28,2.2764618396759033,2.356807484055361,2.257714714213156,2.2898529719649394,287100
2003-08-04,1.8747332096099854,2.276461809257589,1.7408241872184476,2.263071443383982,321600
2003-08-11,1.9952529668807983,1.9952529668807983,1.8720562458459047,1.8747342438743904,106200
2003-08-18,1.955079197883606,1.995252218184072,1.7943878829183721,1.9684705239156906,169500
2003-08-25,1.9416885375976562,1.9416885375976562,1.9041935199604174,1.9149060811209975,83100
2003-09-01,2.0488152503967285,2.0889880608831213,1.914905498990612,1.914905498990612,69300
