Price,Close,High,Low,Open,Volume
Ticker,ON,ON,ON,ON,ON
Date,,,,,
2000-05-01,20.875,25.0625,20.5,24.875,6185900
2000-05-08,21.375,23.0,17.8125,20.4375,6621600
2000-05-15,22.75,24.5,20.1875,21.6875,5414000
2000-05-22,18.0,23.125,17.875,23.125,4659200
2000-05-29,23.0,23.25,18.0,18.0,4310500
2000-06-05,23.25,24.625,21.0625,22.75,2556000
2000-06-12,21.0625,24.25,20.8125,23.75,2690600
2000-06-19,23.625,26.5,20.5,21.5625,3580500
2000-06-26,21.875,26.8125,21.75,23.875,2387700
2000-07-03,21.8125,23.125,20.0,22.875,2448100
2000-07-10,21.5625,24.6875,19.75,21.75,4136500
2000-07-17,20.5,22.375,19.75,22.0,2245200
2000-07-24,20.0,21.1875,19.375,20.375,5694700
2000-07-31,20.75,22.25,20.0,20.0,2271500
2000-08-07,17.25,21.125,16.25,20.75,7974000
2000-08-14,17.0,18.5,16.375,17.28125,1696000
2000-08-21,17.6875,17.9375,16.25,17.1875,2115800
2000-08-28,17.5,17.9375,16.6875,17.5,1741600
2000-09-04,15.5,17.625,15.5,17.5,2210400
2000-09-11,14.875,17.125,14.875,15.75,1267200
2000-09-18,12.25,15.0,11.375,14.875,3129000
2000-09-25,10.875,13.125,10.125,12.6875,2723600
2000-10-02,11.6875,12.9375,10.625,11.0,1673000
2000-10-09,11.625,12.125,10.1875,11.625,894900
2000-10-16,10.9375,12.0625,9.625,11.75,2561900
2000-10-23,9.5,11.0625,9.1875,11.0625,1946800
2000-10-30,10.625,10.75,9.5,9.5625,1776000
2000-11-06,7.8125,10.75,7.6875,10.75,1633900
2000-11-13,9.0625,9.125,7.625,7.84375,4708700
2000-11-20,7.9375,9.125,7.5,9.046875,1000000
2000-11-27,6.875,8.125,6.5,8.046875,1411100
2000-12-04,8.6875,8.6875,6.65625,7.03125,1432000
2000-12-11,5.25,9.75,4.96875,8.71875,4785900
2000-12-18,4.25,6.5625,4.0625,5.5,5567200
2000-12-25,5.25,5.25,4.0,4.28125,4663300
2001-01-01,5.5625,5.96875,4.75,5.125,547700
2001-01-08,6.0,6.625,5.21875,5.5625,1430200
2001-01-15,6.375,6.75,5.25,5.875,2116200
2001-01-22,8.0,8.375,5.9375,6.375,2843700
2001-01-29,7.125,8.75,6.5625,8.1875,1811600
2001-02-05,7.125,7.6875,6.5,7.109375,545700
2001-02-12,7.0,7.6875,6.4375,7.03125,639900
2001-02-19,5.8125,7.125,5.5,7.125,413600
2001-02-26,5.8125,6.25,5.5,6.0625,379300
2001-03-05,5.34375,6.75,4.9375,5.875,1864500
2001-03-12,5.6875,6.0,5.0,5.375,1123100
2001-03-19,5.5,5.75,4.8125,5.65625,652700
2001-03-26,5.34375,5.75,4.59375,5.5,847500
2001-04-02,4.0625,5.40625,3.9375,5.3125,483200
2001-04-09,4.650000095367432,4.800000190734863,4.070000171661377,4.079999923706055,350000
2001-04-16,5.090000152587891,5.380000114440918,3.9800000190734863,4.5,655300
2001-04-23,5.28000020980835,5.320000171661377,4.599999904632568,5.079999923706055,516100
2001-04-30,6.5,6.900000095367432,5.25,5.269999980926514,869300
2001-05-07,6.699999809265137,8.0,6.570000171661377,7.139999866485596,1269400
2001-05-14,6.949999809265137,7.170000076293945,6.349999904632568,6.690000057220459,711300
2001-05-21,6.800000190734863,7.300000190734863,6.329999923706055,6.900000095367432,838000
2001-05-28,6.940000057220459,7.010000228881836,5.599999904632568,6.800000190734863,1786000
2001-06-04,6.389999866485596,6.949999809265137,6.28000020980835,6.539999961853027,930300
2001-06-11,5.349999904632568,6.5,5.300000190734863,6.349999904632568,1082200
2001-06-18,4.75,5.630000114440918,4.449999809265137,5.309999942779541,842500
2001-06-25,4.550000190734863,5.199999809265137,4.25,4.550000190734863,912300
