Price,Close,High,Low,Open,Volume
Ticker,PEPE-USD,PEPE-USD,PEPE-USD,PEPE-USD,PEPE-USD
Date,,,,,
2022-08-15,1.5999999959603883e-05,0.00044100001105107367,1.5999999959603883e-05,0.0003760000108741224,1596960
2022-08-22,2.4000000848900527e-05,7.200000254670158e-05,1.4999999621068127e-05,1.5999999959603883e-05,392815
2022-08-29,2.700000004551839e-05,3.600000127335079e-05,1.8999999156221747e-05,2.4000000848900527e-05,52410
2022-09-05,2.9000000722589903e-05,3.099999958067201e-05,2.300000051036477e-05,2.700000004551839e-05,39130
2022-09-12,1.2000000424450263e-05,2.9000000722589903e-05,1.2000000424450263e-05,2.9000000722589903e-05,23107
2022-09-19,9.999999747378752e-06,1.2000000424450263e-05,9.999999747378752e-06,1.2000000424450263e-05,5605
2022-09-26,9.999999747378752e-06,1.1000000085914508e-05,9.000000318337698e-06,9.999999747378752e-06,4298
2022-10-03,9.999999747378752e-06,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,908
2022-10-10,7.999999979801942e-06,9.999999747378752e-06,7.999999979801942e-06,9.999999747378752e-06,4327
2022-10-17,7.000000096013537e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,4399
2022-10-24,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,918
2022-10-31,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,59
2022-11-07,6.000000212225132e-06,7.999999979801942e-06,4.999999873689376e-06,7.999999979801942e-06,584
2022-11-14,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,16
2022-11-21,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,224
2022-11-28,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,165
2022-12-05,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,0
