Price,Close,High,Low,Open,Volume
Ticker,SNPS,SNPS,SNPS,SNPS,SNPS
Date,,,,,
1992-02-24,7.6875,8.25,6.875,7.125,14922400
1992-03-02,7.75,8.0625,7.5625,7.625,4081200
1992-03-09,8.4375,8.5,7.8125,7.8125,2385200
1992-03-16,8.75,8.8125,8.125,8.375,1487200
1992-03-23,7.875,8.8125,7.875,8.8125,1177600
1992-03-30,7.5,8.0625,7.25,7.875,1661200
1992-04-06,7.5,7.75,7.1875,7.4375,2491200
1992-04-13,7.625,7.9375,7.5625,7.5625,407200
1992-04-20,6.625,7.65625,6.375,7.65625,1784400
1992-04-27,7.6875,7.6875,6.25,6.75,1992400
1992-05-04,8.34375,8.5625,7.625,7.625,2051200
1992-05-11,7.375,8.3125,6.75,8.3125,1505200
1992-05-18,6.875,7.5,6.75,7.3125,793600
1992-05-25,6.84375,7.0,6.59375,6.875,2458000
1992-06-01,7.59375,8.375,6.8125,6.8125,2975200
1992-06-08,7.1875,7.8125,6.875,7.6875,1654400
1992-06-15,6.5625,7.3125,6.1875,7.3125,2302000
1992-06-22,6.5,6.8125,6.1875,6.5625,1203200
1992-06-29,6.625,7.1875,6.3125,6.5,1398800
1992-07-06,6.5625,6.8125,6.375,6.6875,1761200
1992-07-13,6.375,6.5625,6.0,6.5,1895200
1992-07-20,5.8125,6.25,5.75,6.125,1482000
1992-07-27,6.5,6.625,5.5625,5.84375,9866000
1992-08-03,6.5,6.5625,6.25,6.5,3763200
1992-08-10,6.3125,6.4375,6.3125,6.375,2075200
1992-08-17,5.875,6.4375,5.875,6.375,1606400
1992-08-24,6.375,6.375,5.75,5.875,6027600
1992-08-31,6.3125,6.375,6.125,6.3125,7348000
1992-09-07,7.03125,7.25,6.1875,6.1875,6856000
1992-09-14,6.96875,7.3125,6.9375,7.125,5032400
1992-09-21,6.6875,7.25,6.5,6.9375,3252400
1992-09-28,6.9375,7.4375,6.4375,6.5625,3859600
1992-10-05,7.0625,7.1875,6.375,6.875,4752000
1992-10-12,7.8125,7.8125,7.0625,7.0625,6770400
1992-10-19,7.625,8.25,7.5,7.6875,5247600
1992-10-26,7.5625,7.75,7.09375,7.5625,3352400
1992-11-02,8.125,8.25,7.5,7.5,4152000
1992-11-09,8.125,8.34375,8.0,8.1875,3355200
1992-11-16,8.625,8.875,8.0,8.125,3204800
1992-11-23,7.875,8.6875,7.875,8.625,1770800
1992-11-30,7.90625,8.0,7.4375,8.0,3209200
1992-12-07,8.3125,8.375,7.875,7.875,4750400
1992-12-14,8.625,8.6875,8.125,8.25,2050800
1992-12-21,8.75,8.84375,8.5625,8.6875,1030800
1992-12-28,8.65625,8.8125,8.3125,8.6875,1714400
1993-01-04,9.25,9.625,8.3125,8.625,4524400
1993-01-11,9.3125,9.5625,8.8125,9.25,3507200
1993-01-18,8.375,9.5,8.0,9.3125,6442400
1993-01-25,8.4375,9.0,8.3125,8.3125,2793200
1993-02-01,7.71875,8.8125,7.5625,8.34375,4439200
1993-02-08,8.1875,8.1875,7.5,7.625,4050000
1993-02-15,8.0625,8.0625,7.1875,8.0,3375200
1993-02-22,8.0,8.1875,7.75,8.1875,2384000
1993-03-01,7.6875,8.125,7.6875,8.03125,678400
1993-03-08,7.21875,7.8125,6.65625,7.8125,8411600
1993-03-15,6.65625,7.4375,6.65625,7.375,5030400
1993-03-22,7.9375,8.0625,6.4375,6.625,3565200
1993-03-29,8.15625,8.5625,7.9375,7.9375,2879200
1993-04-05,8.125,8.1875,7.8125,8.1875,1282800
1993-04-12,8.21875,8.375,7.3125,8.125,1851200
1993-04-19,8.75,8.875,7.9375,8.25,6172400
1993-04-26,8.78125,9.1875,8.1875,8.6875,4625200
1993-05-03,9.125,9.5,8.4375,8.8125,5984400
1993-05-10,8.9375,9.25,8.9375,9.125,1176400
