Price,Close,High,Low,Open,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,
1990-02-26,1860.0,1860.0,1827.0,1836.0,0
1990-03-05,1921.0,1941.0,1862.0,1866.0,0
1990-03-12,1958.0,1967.0,1912.0,1917.0,0
1990-03-19,1937.0,1953.0,1910.0,1950.0,0
1990-03-26,1972.0,1975.0,1931.0,1948.0,0
1990-04-02,2070.0,2081.0,1937.0,1951.0,0
1990-04-09,2117.0,2117.0,2063.0,2076.0,0
1990-04-16,2129.0,2141.0,2072.0,2122.0,0
1990-04-23,2066.0,2138.0,2054.0,2126.0,0
1990-04-30,2099.0,2116.0,2032.0,2057.0,0
1990-05-07,2092.0,2134.0,2081.0,2111.0,0
1990-05-14,2100.0,2120.0,2057.0,2099.0,0
1990-05-21,2112.0,2141.0,2075.0,2083.0,0
1990-05-28,2087.0,2140.0,2083.0,2098.0,0
1990-06-04,2021.0,2091.0,2016.0,2090.0,0
1990-06-11,2012.0,2035.0,1988.0,1998.0,0
1990-06-18,2032.0,2037.0,1972.0,2008.0,0
1990-06-25,2035.0,2059.0,2019.0,2034.0,0
1990-07-02,2002.0,2046.0,1987.0,2025.0,0
1990-07-09,1998.0,2009.0,1950.0,2005.0,0
1990-07-16,2031.0,2036.0,1998.0,2001.0,0
1990-07-23,1965.0,2026.0,1956.0,2021.0,0
1990-07-30,1869.0,1971.0,1861.0,1959.0,0
1990-08-06,1778.0,1833.0,1725.0,1826.0,0
1990-08-13,1665.0,1744.0,1650.0,1737.0,0
1990-08-20,1617.0,1644.0,1507.0,1642.0,0
1990-08-27,1690.0,1747.0,1651.0,1693.0,0
1990-09-03,1619.0,1669.0,1591.0,1668.0,0
1990-09-10,1615.0,1687.0,1603.0,1675.0,0
1990-09-17,1543.0,1605.0,1502.0,1596.0,0
1990-09-24,1499.0,1538.0,1472.0,1526.0,0
1990-10-01,1552.0,1593.0,1511.0,1515.0,0
1990-10-08,1575.0,1598.0,1518.0,1577.0,0
1990-10-15,1644.0,1650.0,1584.0,1600.0,0
1990-10-22,1618.0,1682.0,1609.0,1643.0,0
1990-10-29,1639.0,1649.0,1601.0,1609.0,0
1990-11-05,1573.0,1632.0,1549.0,1632.0,0
1990-11-12,1612.0,1628.0,1576.0,1576.0,0
1990-11-19,1640.0,1654.0,1613.0,1622.0,0
1990-11-26,1605.0,1648.0,1589.0,1648.0,0
1990-12-03,1691.0,1709.0,1627.0,1628.0,0
1990-12-10,1635.0,1695.0,1632.0,1684.0,0
1990-12-17,1564.0,1619.0,1539.0,1612.0,0
1990-12-24,1509.0,1572.0,1498.0,1553.0,0
